config,pid,pin,dim,repeat,seed,budget_scale,rpr,f1,score,precision,n_sol,used_eval,elapsed_sec
RMC-LadderTerminal,1,1,20,3,3239354781,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399942,165.654
RMC-LadderTerminal,1,1,20,4,409577597,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399946,170.95
RMC-NoState,6,1,20,2,4027479527,1.0,0.25,0.4,0.325,1.0,5,399934,1968.285
RMC-LadderTerminal,6,1,20,1,2087795920,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,4,399950,124.54
RMC-LadderTerminal,1,1,20,5,1950732293,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399950,162.501
RMC-LadderTerminal,6,1,20,2,4027479527,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,4,399935,124.401
RMC-LadderTerminal,6,1,20,3,3248997195,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,4,399958,124.425
RMC-LadderTerminal,6,1,20,4,149845851,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,6,399945,123.75
RMC-LadderTerminal,6,1,20,5,2548412932,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,6,399933,128.384
RMC-LadderTerminal,10,1,20,1,3041133044,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399938,83.966
RMC-LadderTerminal,10,1,20,2,3080307965,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399940,84.544
RMC-LadderTerminal,10,1,20,3,1544670583,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399945,84.308
RMC-LadderTerminal,10,1,20,4,253359342,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399947,87.397
RMC-LadderTerminal,14,1,20,1,1021354410,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399973,80.099
RMC-LadderTerminal,10,1,20,5,3875162692,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399934,100.965
RMC-LadderTerminal,14,1,20,2,2289296825,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399967,80.854
RMC-LadderTerminal,14,1,20,3,1098493118,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,3,399969,83.841
RMC-LadderTerminal,14,1,20,4,2880851931,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399979,81.398
RMC-LadderTerminal,14,1,20,5,3820371101,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399959,81.094
RMC-LadderTrajectory,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399935,153.783
RMC-LadderTrajectory,1,1,20,2,2220656915,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399925,164.774
RMC-LadderTrajectory,1,1,20,3,3239354781,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399960,149.348
RMC-LadderTrajectory,1,1,20,4,409577597,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399941,161.702
RMC-LadderTrajectory,1,1,20,5,1950732293,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399940,161.396
RMC-LadderTrajectory,6,1,20,1,2087795920,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399929,130.614
RMC-LadderTrajectory,6,1,20,2,4027479527,1.0,0.25,0.4,0.325,1.0,5,399938,125.732
RMC-LadderTrajectory,6,1,20,3,3248997195,1.0,0.25,0.4,0.325,1.0,5,399949,127.648
RMC-LadderTrajectory,10,1,20,1,3041133044,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399944,84.526
RMC-LadderTrajectory,6,1,20,4,149845851,1.0,0.15,0.2608695652173913,0.20543478260869563,1.0,3,399963,132.598
RMC-LadderTrajectory,10,1,20,2,3080307965,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399943,95.933
RMC-LadderTrajectory,6,1,20,5,2548412932,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,6,399943,130.963
RMC-LadderTrajectory,10,1,20,4,253359342,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399949,85.999
RMC-LadderTrajectory,10,1,20,5,3875162692,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399926,86.562
RMC-LadderTrajectory,14,1,20,1,1021354410,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399969,84.718
RMC-LadderTrajectory,14,1,20,2,2289296825,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399973,84.156
RMC-LadderTrajectory,14,1,20,3,1098493118,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399967,83.315
RMC-LadderTrajectory,14,1,20,4,2880851931,1.0,0.1,0.18181818181818182,0.14090909090909093,1.0,1,399978,90.854
RMC-LadderTrajectory,14,1,20,5,3820371101,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399975,76.266
RMC-LadderTrajectory,10,1,20,3,1544670583,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399949,399.807
RMC-LadderMaximin,10,1,20,4,253359342,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399936,3312.989
RMC-NoState,10,1,20,5,3875162692,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,6,399940,4199.463
RMC-NoState,6,1,20,1,2087795920,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,4,399947,5507.405
RMC-LadderMaximin,10,1,20,1,3041133044,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399942,5343.887
