dimension,seed,representatives,total_candidates_per_condition,relation_candidates,shared_uniform_candidates,relation_clipped_candidate_fraction,relation_clipped_coordinate_fraction,uniform_distance_contrast_mean,uniform_clearance_cv,combined_clearance_cv,uniform_selected_clearance_over_sqrt_d,combined_selected_clearance_over_sqrt_d,paired_clearance_difference_over_sqrt_d,combined_selected_relation,combined_selected_on_boundary,mean_relation_edge_length_over_sqrt_d,relation_edges,uniform_propose_seconds,combined_propose_seconds
10,12,16,200,100,100,0.95,0.232,0.6408865949377719,0.17827167010144804,0.18677946997432307,0.3649849649368805,0.3601815429339988,-0.004803422002881688,0,0,0.2864705106664764,13,0.00011929997708648443,0.0002536999818403274
10,13,16,200,100,100,0.96,0.226,0.5992035116562582,0.1759761030743845,0.21404079880351315,0.4000555902263535,0.38826524236950954,-0.011790347856843977,0,0,0.2718211132034974,12,0.0001399999891873449,0.00022449999232776463
10,14,16,200,100,100,0.88,0.222,0.6283819912908378,0.17750158229437327,0.21355729305171287,0.4150854013196353,0.3942506647576959,-0.020834736561939404,0,0,0.2843476592110254,12,0.00011739999172277749,0.0002654999843798578
10,15,16,200,100,100,0.96,0.232,0.6025347314790824,0.17487379779495665,0.21034622774064957,0.3889225877799057,0.3889225877799057,0.0,0,0,0.27894297725731926,10,0.0001391999830957502,0.00023430000874213874
10,16,16,200,100,100,0.95,0.244,0.6406871089742516,0.15897974023997094,0.17752310679286895,0.3942273445342538,0.37951980569233457,-0.014707538841919212,0,0,0.2999508330132857,13,0.00012740000966005027,0.0002832000027410686
10,17,16,200,100,100,0.93,0.231,0.6260143071974791,0.18298587908070243,0.2254830051731296,0.3889356158221009,0.38599869675356363,-0.002936919068537247,0,0,0.27104486325206606,11,0.0001399999891873449,0.0002342000079806894
10,18,16,200,100,100,0.78,0.176,0.6726028114480792,0.16757953923931657,0.22347446010601069,0.38053798977998404,0.38053798977998404,0.0,0,0,0.2496841460652979,13,0.0001188000023830682,0.0002510999911464751
10,19,16,200,100,100,0.86,0.191,0.6378124955306688,0.15400113019680622,0.19060226102875097,0.3837381033520624,0.3444871917840096,-0.03925091156805277,0,0,0.27350268418188584,13,0.00013630001922138035,0.000225499999942258
20,0,16,800,400,400,1.0,0.27825,0.41613209371708154,0.10361309337094235,0.1508715157537211,0.42033958898334617,0.42033958898334617,0.0,0,0,0.3334101890181927,13,0.001208499976200983,0.0014368000265676528
20,1,16,800,400,400,1.0,0.261125,0.4222462168351033,0.10353314041896497,0.12981205785463018,0.3926692260846504,0.38610168140302104,-0.006567544681629358,0,0,0.33592840812263125,13,0.0012759999954141676,0.0014591999934054911
20,2,16,800,400,400,0.995,0.226875,0.42887540167773236,0.10882937758002267,0.17675182787878552,0.41321249782978814,0.41321249782978814,0.0,0,0,0.3055218967899944,12,0.001257600000826642,0.0014326000236906111
20,3,16,800,400,400,1.0,0.245625,0.4527872008014811,0.11430152283073076,0.15529641963634488,0.41899735252654274,0.41899735252654274,0.0,0,0,0.3139872185397563,12,0.0013082000077702105,0.0014810000138822943
20,4,16,800,400,400,0.9975,0.27025,0.431287934103202,0.11123685742309179,0.1542215783812269,0.40019890663485586,0.39955190262642337,-0.0006470040084324773,0,0,0.3206188906006588,12,0.0012583000061567873,0.0014307000092230737
20,5,16,800,400,400,0.9975,0.20925,0.4515042919289616,0.10967397942190889,0.1515736503062483,0.3869142804033257,0.3775390101874996,-0.009375270215826176,0,0,0.2930223010620972,13,0.001277399976970628,0.0018326000135857612
20,6,16,800,400,400,0.995,0.257,0.4484669037019026,0.10684831765749868,0.1446632458938998,0.4170788577900515,0.40341215485644755,-0.013666702933603947,0,0,0.32858262913676567,13,0.0012325000134296715,0.0014330999983940274
20,7,16,800,400,400,1.0,0.244875,0.4270442326330938,0.1105205233244785,0.14500170853734637,0.4097120647294711,0.4097120647294711,0.0,0,0,0.31723695326581275,11,0.0012938999861944467,0.0014263000048231333
20,8,16,800,400,400,1.0,0.264,0.4665077020255822,0.10761284912050476,0.13251389578350226,0.39626788678574665,0.3888679090580876,-0.007399977727659023,0,0,0.3395374802476985,12,0.0012446999899111688,0.0014782999933231622
20,9,16,800,400,400,0.9975,0.2435,0.4345725773251139,0.10262185065546577,0.13707086537398197,0.3991543263388128,0.39359095877676875,-0.005563367562044072,0,0,0.3199643615739436,13,0.00136599998222664,0.0014053000195417553
20,10,16,800,400,400,0.9975,0.24075,0.4330793086388545,0.11096498220837388,0.15997353936491693,0.428359860999585,0.428359860999585,0.0,0,0,0.31175582628244913,10,0.0012627999822143465,0.0014762000064365566
20,11,16,800,400,400,1.0,0.24625,0.4421787690916725,0.11059478011890773,0.17560697303337694,0.4181943753109462,0.4181943753109462,0.0,0,0,0.31080656371409243,12,0.001289300009375438,0.0015205999952740967
20,12,16,800,400,400,0.9975,0.266625,0.441209013919112,0.10040875912201934,0.13486720209554237,0.40544303044924584,0.3954431052225974,-0.009999925226648441,0,0,0.32743348397541977,11,0.001273300003958866,0.0014796000032220036
20,13,16,800,400,400,0.9975,0.24725,0.42802849463020104,0.10792805234489142,0.1603127199463109,0.40237291621399257,0.3992323205816535,-0.003140595632339075,0,0,0.31404886897194806,13,0.0012894000101368874,0.0013991000014357269
20,14,16,800,400,400,0.9975,0.242,0.4338504584337076,0.10818391807954807,0.15371267539267214,0.410094373886977,0.410094373886977,0.0,0,0,0.31219151920992766,11,0.0012340999965090305,0.004612499993527308
20,15,16,800,400,400,1.0,0.270125,0.42428725043967286,0.10522397914743313,0.1477982732659976,0.4161094837334158,0.4038329905701112,-0.012276493163304604,0,0,0.32760696398010375,12,0.0013142999960109591,0.0015583000204060227
20,16,16,800,400,400,1.0,0.266375,0.4277836487631012,0.10170226788119076,0.1504824451897881,0.41361151555069475,0.4109166540108347,-0.002694861539859993,0,0,0.32701802872844205,11,0.0013116000045556575,0.0018945999909192324
20,17,16,800,400,400,0.995,0.245375,0.4314416806556187,0.10564710968438705,0.14729238530704936,0.4033741677886818,0.4033741677886818,0.0,0,0,0.32061399420465986,12,0.0013466000091284513,0.0016047999961301684
